City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,riachao das neves,-11.7461,-44.91,298.11,61,18,0.56,BR,1702257900
270,macgregor,49.9661,-98.7794,263.57,84,34,1.34,CA,1702257900
271,tulun,54.5611,100.5792,235.29,100,54,0.36,RU,1702257900
272,ceres,37.5949,-120.9577,285.12,65,0,2.57,US,1702257900
273,rongelap,11.1635,166.8941,300.49,78,100,9.18,MH,1702257595
274,kisarawe,-6.9,39.0667,295.91,95,100,0.98,TZ,1702257901
275,tan-tan,28.438,-11.1032,295.46,27,100,4.61,MA,1702257901
276,gereida,11.2811,25.1414,297.49,17,100,3.25,SD,1702257779
277,pont rouge,48.8833,-72.0825,276.31,89,100,2.3,CA,1702257901
278,andkhoy,36.9529,65.1238,284.07,37,94,3.21,AF,1702257901
279,east grand forks,47.93,-97.0245,266.28,93,100,4.63,US,1702257901
280,iskateley,67.6803,53.1512,250.38,91,100,4.92,RU,1702257776
281,lisala,2.15,21.5167,295.83,83,93,0.31,CD,1702257901
282,isafjordur,66.0755,-23.124,269.82,94,95,2.87,IS,1702257543
283,kruisfontein,-34.0033,24.7314,286.97,92,0,1.48,ZA,1702257901
284,jamaame,0.0697,42.745,299.08,81,14,3.6,SO,1702257901
285,wenling,28.3669,121.36,291.5,84,0,0.68,CN,1702257901
286,whitburn,54.9533,-1.3686,280.46,93,100,9.18,GB,1702257901
287,fale old settlement,-9.3852,-171.2468,301.82,78,95,6.31,TK,1702257901
288,san patricio,28.017,-97.5169,286.39,27,0,2.16,US,1702257853
289,mili,6.0815,171.735,300.51,85,100,7.23,MH,1702257902
290,gonda city,27.1333,81.9333,285.4,39,1,1.53,IN,1702257902
291,lushun,38.8,121.2667,268.27,67,100,13.11,CN,1702257902
292,nemuro,43.3236,145.575,273.6,48,28,6.5,JP,1702257762
293,acapulco de juarez,16.8634,-99.8901,301.05,83,75,1.54,MX,1702257780
294,beberibe,-4.1797,-38.1306,299.6,75,14,5.48,BR,1702257902
295,smithers,54.7804,-127.1743,268.33,93,75,2.06,CA,1702257805
296,bayganin,48.6947,55.8742,257.23,69,0,7.06,KZ,1702257861
297,santa terezinha,-29.9002,-50.0904,292.94,95,100,7.15,BR,1702257902
298,vilyuchinsk,52.9306,158.4028,275.3,93,100,2.03,RU,1702257781
299,la passe,45.5549,-0.8967,289.28,88,100,10.74,FR,1702257804
300,katutura,-22.521,17.0557,293.65,36,0,1.79,NA,1702257903
301,vernon,50.2581,-119.2691,277.76,90,100,1.54,CA,1702257508
302,grivenskaya,45.6473,38.176,279.36,91,100,3.42,RU,1702257903
303,christchurch,-43.5333,172.6333,296.78,45,9,8.23,NZ,1702257778
304,ballina,-28.8667,153.5667,301.92,57,59,4.23,AU,1702257903
305,buala,-8.145,159.5921,302.54,68,50,0.83,SB,1702257903
306,arkhipo-osipovka,44.37,38.52,282.39,91,100,4.18,RU,1702257903
307,mejit,10.2753,170.8646,300.37,74,100,8.92,MH,1702257793
308,cam ranh,11.9214,109.1591,300.13,74,0,3.09,VN,1702257903
309,plettenberg bay,-34.0527,23.3716,288.08,86,0,1.61,ZA,1702257903
310,nova vicosa,-17.8919,-39.3719,297.89,84,5,3.17,BR,1702257904
311,neyriz,29.1988,54.3278,282.13,31,100,0.62,IR,1702257904
312,metahara,8.9,39.9167,291.69,51,4,0.43,ET,1702257904
313,lebu,-37.6167,-73.65,286.06,87,100,8.61,CL,1702257558
314,pemangkat,1.1667,108.9667,299.82,83,99,1.86,ID,1702257904
315,north battleford,52.7834,-108.2847,271.71,80,100,2.57,CA,1702257904
316,brookings,44.3114,-96.7984,269.15,88,0,0.0,US,1702257904
317,mogocha,53.7333,119.7667,240.35,89,5,1.15,RU,1702257904
318,mata-utu,-13.2816,-176.1745,301.5,76,100,6.64,WF,1702257904
